GENOMIC,GENUS,SPECIES,FIELD_POP ID,GREENHOUSE,VOUCHER SPECIMEN,COLLECTION DATE,PROVENANCE,COUNTRY,STATE_PROVINCE,SPECIFIC LOCALITY,LATITUDE,LONGITUDE,NOTES,MATERIAL,NANODROP CONCENTRATION (ng/uL),NANODROP 260:280 RATIO,PUBLISHED
665,Lycium,andersonii,06-07,,"Miller and Levin, same population as 06-01",3/15/2006,North America,United States,Arizona; Pinal Co.,"just north of Park Links Drive on east side of I-10 frontage road towards Picacho Peak, Red Rock exit",32.596,-111.341,,silica,,,
666,Lycium,andersonii,06-08,,"Miller and Levin, same population as 06-01",3/15/2006,North America,United States,Arizona; Pinal Co.,"just north of Park Links Drive on east side of I-10 frontage road towards Picacho Peak, Red Rock exit",32.596,-111.341,,silica,,,
668,Lycium,andersonii,06-11,,"Miller and Levin, same population as 06-12",3/17/2006,North America,United States,Arizona; Pima Co.,"Ajo Way, W of Robles Junction, roadside, between mile markers 149 and 148",32.074,-111.351,,silica,,,
670,Lycium,andersonii,06-13,,"Miller and Levin, same population as 06-12",3/17/2006,North America,United States,Arizona; Pima Co.,"Ajo Way, W of Robles Junction, roadside, between mile markers 149 and 148",32.074,-111.351,,silica,,,
480,Lycium,andersonii,05-83,,Miller et al. 05-83 ,3/21/2005,North America,Mexico,Sonora,just S. of Puerto Libertad (2.8 km south) on roadside.,29.889,-112.648,growing with Lycium fremontii and Encelia,silica,,,
77,Lycium,andersonii,,,Miller 97-12 ARIZ,4/18/1997,North America,Mexico,Baja California,Turnoff to El Socorrito along Mexico highway 1 (~ kilometer 21).  Plant in field west of the highway along dirt road.,,,,silica,,,
,Lycium,andersonii,Style collection 10-16,,no voucher (see notes),1/12/2010,North America,Mexico,Baja California Sur,few km along road to Santa Rosalilita,28.7181,-114.129,few km along road to Santa Rosalilita, ,,,
,Lycium,andersonii,Style collection 10-53,,no voucher (see notes),1/16/2010,North America,Mexico,Baja California Sur,"dirt road north of La Paz, Baja California Sur",24.0995,-110.526,"dirt road north of La Paz, Baja California Sur", ,,,
,Lycium,andersonii,Style collection 10-54,,no voucher (see notes),1/16/2010,North America,Mexico,Baja California Sur,"dirt road north of La Paz, Baja California Sur",24.0995,-110.526,"dirt road north of La Paz, Baja California Sur", ,,,
3532,Lycium,andersonii,,,Miller and Levin 05-78,3/20/2005,North America,Mexico,Sonora,ca 68km from intersection of Son-132 and Mex-15 heading N to Kino Bay,28.652,-111.391,Lycium sp.; Keys to berlandieri but looks like andersonii (same as 05-83), ,,,
